Center	Date	Year	Month	Week	Day	Weekday	Volume
Atlantic	2/2/2014	2014	February	1	2	Sunday	15077
Atlantic	2/3/2014	2014	February	1	3	Monday	87675
Atlantic	2/4/2014	2014	February	1	4	Tuesday	73172
Atlantic	2/5/2014	2014	February	1	5	Wednesday	36075
Atlantic	2/6/2014	2014	February	1	6	Thursday	18459
Atlantic	2/7/2014	2014	February	1	7	Friday	62784
Atlantic	2/8/2014	2014	February	2	8	Saturday	57692
Atlantic	2/9/2014	2014	February	2	9	Sunday	32762
Atlantic	2/10/2014	2014	February	2	10	Monday	63424
Atlantic	2/11/2014	2014	February	2	11	Tuesday	65284
Atlantic	2/12/2014	2014	February	2	12	Wednesday	41427
Atlantic	2/13/2014	2014	February	2	13	Thursday	28649
Atlantic	2/14/2014	2014	February	2	14	Friday	67942
Atlantic	2/15/2014	2014	February	3	15	Saturday	74543
Atlantic	2/16/2014	2014	February	3	16	Sunday	56217
Atlantic	2/17/2014	2014	February	3	17	Monday	63439
Atlantic	2/18/2014	2014	February	3	18	Tuesday	58990
Atlantic	2/19/2014	2014	February	3	19	Wednesday	50289
Atlantic	2/20/2014	2014	February	3	20	Thursday	74467
Atlantic	2/21/2014	2014	February	3	21	Friday	71153
Atlantic	2/22/2014	2014	February	4	22	Saturday	24134
Atlantic	2/23/2014	2014	February	4	23	Sunday	83908
Atlantic	2/24/2014	2014	February	4	24	Monday	60790
Atlantic	2/25/2014	2014	February	4	25	Tuesday	88392
Atlantic	2/26/2014	2014	February	4	26	Wednesday	52840
Atlantic	2/27/2014	2014	February	4	27	Thursday	46684
Atlantic	2/28/2014	2014	February	4	28	Friday	70692
Atlantic	3/1/2014	2014	March	1	1	Saturday	51086
Atlantic	3/2/2014	2014	March	1	2	Sunday	17297
Atlantic	3/3/2014	2014	March	1	3	Monday	75962
Atlantic	3/4/2014	2014	March	1	4	Tuesday	18224
Atlantic	3/5/2014	2014	March	1	5	Wednesday	54465
Atlantic	3/6/2014	2014	March	1	6	Thursday	27525
Atlantic	3/7/2014	2014	March	1	7	Friday	85067
Atlantic	3/8/2014	2014	March	2	8	Saturday	60882
Atlantic	3/9/2014	2014	March	2	9	Sunday	46811
Atlantic	3/10/2014	2014	March	2	10	Monday	53076
Atlantic	3/11/2014	2014	March	2	11	Tuesday	57768
Atlantic	3/12/2014	2014	March	2	12	Wednesday	64064
Atlantic	3/13/2014	2014	March	2	13	Thursday	29137
Atlantic	3/14/2014	2014	March	2	14	Friday	31036
Atlantic	3/15/2014	2014	March	3	15	Saturday	76547
Atlantic	3/16/2014	2014	March	3	16	Sunday	24910
Atlantic	3/17/2014	2014	March	3	17	Monday	71342
Atlantic	3/18/2014	2014	March	3	18	Tuesday	23288
Atlantic	3/19/2014	2014	March	3	19	Wednesday	82269
Atlantic	3/20/2014	2014	March	3	20	Thursday	63490
Atlantic	3/21/2014	2014	March	3	21	Friday	71465
Atlantic	3/22/2014	2014	March	4	22	Saturday	14860
Atlantic	3/23/2014	2014	March	4	23	Sunday	28940
Atlantic	3/24/2014	2014	March	4	24	Monday	85398
Atlantic	3/25/2014	2014	March	4	25	Tuesday	24805
Atlantic	3/26/2014	2014	March	4	26	Wednesday	29838
Atlantic	3/27/2014	2014	March	4	27	Thursday	31916
Atlantic	3/28/2014	2014	March	4	28	Friday	49130
Atlantic	3/29/2014	2014	March	5	29	Saturday	60016
Atlantic	3/30/2014	2014	March	5	30	Sunday	34927
Atlantic	3/31/2014	2014	March	5	31	Monday	76838
Atlantic	4/1/2014	2014	April	1	1	Tuesday	62793
Atlantic	4/2/2014	2014	April	1	2	Wednesday	65084
Atlantic	4/3/2014	2014	April	1	3	Thursday	76027
Atlantic	4/4/2014	2014	April	1	4	Friday	17832
Atlantic	4/5/2014	2014	April	1	5	Saturday	49430
Atlantic	4/6/2014	2014	April	1	6	Sunday	28245
Atlantic	4/7/2014	2014	April	1	7	Monday	63129
Atlantic	4/8/2014	2014	April	2	8	Tuesday	37431
Atlantic	4/9/2014	2014	April	2	9	Wednesday	68864
Atlantic	4/10/2014	2014	April	2	10	Thursday	54564
Atlantic	4/11/2014	2014	April	2	11	Friday	19158
Atlantic	4/12/2014	2014	April	2	12	Saturday	68174
Atlantic	4/13/2014	2014	April	2	13	Sunday	51740
Atlantic	4/14/2014	2014	April	2	14	Monday	79502
Atlantic	4/15/2014	2014	April	3	15	Tuesday	79665
Atlantic	4/16/2014	2014	April	3	16	Wednesday	87133
Atlantic	4/17/2014	2014	April	3	17	Thursday	35619
Atlantic	4/18/2014	2014	April	3	18	Friday	60071
Atlantic	4/19/2014	2014	April	3	19	Saturday	19304
Atlantic	4/20/2014	2014	April	3	20	Sunday	68478
Atlantic	4/21/2014	2014	April	3	21	Monday	68915
Atlantic	4/22/2014	2014	April	4	22	Tuesday	31988
Atlantic	4/23/2014	2014	April	4	23	Wednesday	56838
Atlantic	4/24/2014	2014	April	4	24	Thursday	47517
Atlantic	4/25/2014	2014	April	4	25	Friday	55409
Atlantic	4/26/2014	2014	April	4	26	Saturday	21182
Atlantic	4/27/2014	2014	April	4	27	Sunday	85604
Atlantic	4/28/2014	2014	April	4	28	Monday	15127
Atlantic	4/29/2014	2014	April	5	29	Tuesday	54093
Atlantic	4/30/2014	2014	April	5	30	Wednesday	28177
Atlantic	5/1/2014	2014	May	1	1	Thursday	78046
Atlantic	5/2/2014	2014	May	1	2	Friday	28019
Atlantic	5/3/2014	2014	May	1	3	Saturday	85106
Atlantic	5/4/2014	2014	May	1	4	Sunday	60562
Atlantic	5/5/2014	2014	May	1	5	Monday	61247
Atlantic	5/6/2014	2014	May	1	6	Tuesday	15062
Atlantic	5/7/2014	2014	May	1	7	Wednesday	53523
Atlantic	5/8/2014	2014	May	2	8	Thursday	50893
Atlantic	5/9/2014	2014	May	2	9	Friday	62613
Atlantic	5/10/2014	2014	May	2	10	Saturday	73160
Atlantic	5/11/2014	2014	May	2	11	Sunday	64393
Atlantic	5/12/2014	2014	May	2	12	Monday	41210
Atlantic	5/13/2014	2014	May	2	13	Tuesday	49726
Atlantic	5/14/2014	2014	May	2	14	Wednesday	73389
Atlantic	5/15/2014	2014	May	3	15	Thursday	80889
Atlantic	5/16/2014	2014	May	3	16	Friday	55892
Atlantic	5/17/2014	2014	May	3	17	Saturday	30434
Atlantic	5/18/2014	2014	May	3	18	Sunday	65646
Atlantic	5/19/2014	2014	May	3	19	Monday	66774
Atlantic	5/20/2014	2014	May	3	20	Tuesday	75748
Atlantic	5/21/2014	2014	May	3	21	Wednesday	38431
Atlantic	5/22/2014	2014	May	4	22	Thursday	59125
Atlantic	5/23/2014	2014	May	4	23	Friday	87145
Atlantic	5/24/2014	2014	May	4	24	Saturday	53828
Atlantic	5/25/2014	2014	May	4	25	Sunday	64107
Atlantic	5/26/2014	2014	May	4	26	Monday	83910
Atlantic	5/27/2014	2014	May	4	27	Tuesday	52840
Atlantic	5/28/2014	2014	May	4	28	Wednesday	39393
Atlantic	5/29/2014	2014	May	5	29	Thursday	78406
Atlantic	5/30/2014	2014	May	5	30	Friday	42691
Atlantic	5/31/2014	2014	May	5	31	Saturday	66361
Atlantic	6/1/2014	2014	June	1	1	Sunday	43476
Atlantic	6/2/2014	2014	June	1	2	Monday	30835
Atlantic	6/3/2014	2014	June	1	3	Tuesday	45370
Atlantic	6/4/2014	2014	June	1	4	Wednesday	25200
Atlantic	6/5/2014	2014	June	1	5	Thursday	84876
Atlantic	6/6/2014	2014	June	1	6	Friday	15132
Atlantic	6/7/2014	2014	June	1	7	Saturday	47248
Atlantic	6/8/2014	2014	June	2	8	Sunday	73941
Atlantic	6/9/2014	2014	June	2	9	Monday	31205
Atlantic	6/10/2014	2014	June	2	10	Tuesday	21613
Atlantic	6/11/2014	2014	June	2	11	Wednesday	32518
Atlantic	6/12/2014	2014	June	2	12	Thursday	66834
Atlantic	6/13/2014	2014	June	2	13	Friday	72014
Atlantic	6/14/2014	2014	June	2	14	Saturday	48532
Atlantic	6/15/2014	2014	June	3	15	Sunday	27847
Atlantic	6/16/2014	2014	June	3	16	Monday	53035
Atlantic	6/17/2014	2014	June	3	17	Tuesday	18034
Atlantic	6/18/2014	2014	June	3	18	Wednesday	78637
Atlantic	6/19/2014	2014	June	3	19	Thursday	22904
Atlantic	6/20/2014	2014	June	3	20	Friday	34140
Atlantic	6/21/2014	2014	June	3	21	Saturday	77054
Atlantic	6/22/2014	2014	June	4	22	Sunday	78475
Atlantic	6/23/2014	2014	June	4	23	Monday	88101
Atlantic	6/24/2014	2014	June	4	24	Tuesday	74783
Atlantic	6/25/2014	2014	June	4	25	Wednesday	19984
Atlantic	6/26/2014	2014	June	4	26	Thursday	15210
Atlantic	6/27/2014	2014	June	4	27	Friday	24746
Atlantic	6/28/2014	2014	June	4	28	Saturday	77125
Atlantic	6/29/2014	2014	June	5	29	Sunday	88029
Atlantic	6/30/2014	2014	June	5	30	Monday	66028
Atlantic	7/1/2014	2014	July	1	1	Tuesday	54067
Atlantic	7/2/2014	2014	July	1	2	Wednesday	31352
Atlantic	7/3/2014	2014	July	1	3	Thursday	86095
Atlantic	7/4/2014	2014	July	1	4	Friday	88639
Atlantic	7/5/2014	2014	July	1	5	Saturday	55802
Atlantic	7/6/2014	2014	July	1	6	Sunday	16964
Atlantic	7/7/2014	2014	July	1	7	Monday	47450
Atlantic	7/8/2014	2014	July	2	8	Tuesday	43615
Atlantic	7/9/2014	2014	July	2	9	Wednesday	45334
Atlantic	7/10/2014	2014	July	2	10	Thursday	58666
Atlantic	7/11/2014	2014	July	2	11	Friday	58646
Atlantic	7/12/2014	2014	July	2	12	Saturday	39631
Atlantic	7/13/2014	2014	July	2	13	Sunday	40751
Atlantic	7/14/2014	2014	July	2	14	Monday	53989
Atlantic	7/15/2014	2014	July	3	15	Tuesday	72125
Atlantic	7/16/2014	2014	July	3	16	Wednesday	63126
Atlantic	7/17/2014	2014	July	3	17	Thursday	20099
Atlantic	7/18/2014	2014	July	3	18	Friday	21799
Atlantic	7/19/2014	2014	July	3	19	Saturday	75863
Atlantic	7/20/2014	2014	July	3	20	Sunday	50936
Atlantic	7/21/2014	2014	July	3	21	Monday	82485
Atlantic	7/22/2014	2014	July	4	22	Tuesday	29812
Atlantic	7/23/2014	2014	July	4	23	Wednesday	32575
Atlantic	7/24/2014	2014	July	4	24	Thursday	46050
Atlantic	7/25/2014	2014	July	4	25	Friday	77198
Atlantic	7/26/2014	2014	July	4	26	Saturday	30453
Atlantic	7/27/2014	2014	July	4	27	Sunday	34543
Atlantic	7/28/2014	2014	July	4	28	Monday	82802
Atlantic	7/29/2014	2014	July	5	29	Tuesday	24605
Atlantic	7/30/2014	2014	July	5	30	Wednesday	14677
Atlantic	7/31/2014	2014	July	5	31	Thursday	53805
Atlantic	8/1/2014	2014	August	1	1	Friday	74900
Atlantic	8/2/2014	2014	August	1	2	Saturday	14916
Atlantic	8/3/2014	2014	August	1	3	Sunday	83943
Atlantic	8/4/2014	2014	August	1	4	Monday	25566
Atlantic	8/5/2014	2014	August	1	5	Tuesday	66198
Atlantic	8/6/2014	2014	August	1	6	Wednesday	79684
Atlantic	8/7/2014	2014	August	1	7	Thursday	73893
Atlantic	8/8/2014	2014	August	2	8	Friday	37891
Atlantic	8/9/2014	2014	August	2	9	Saturday	71884
Atlantic	8/10/2014	2014	August	2	10	Sunday	81095
Atlantic	8/11/2014	2014	August	2	11	Monday	85403
Atlantic	8/12/2014	2014	August	2	12	Tuesday	49497
Atlantic	8/13/2014	2014	August	2	13	Wednesday	46725
Atlantic	8/14/2014	2014	August	2	14	Thursday	57868
Atlantic	8/15/2014	2014	August	3	15	Friday	51607
Atlantic	8/16/2014	2014	August	3	16	Saturday	23699
Atlantic	8/17/2014	2014	August	3	17	Sunday	43716
Atlantic	8/18/2014	2014	August	3	18	Monday	63802
Atlantic	8/19/2014	2014	August	3	19	Tuesday	23988
Atlantic	8/20/2014	2014	August	3	20	Wednesday	18744
Atlantic	8/21/2014	2014	August	3	21	Thursday	44028
Atlantic	8/22/2014	2014	August	4	22	Friday	79822
Atlantic	8/23/2014	2014	August	4	23	Saturday	23158
Atlantic	8/24/2014	2014	August	4	24	Sunday	80040
Atlantic	8/25/2014	2014	August	4	25	Monday	35234
Atlantic	8/26/2014	2014	August	4	26	Tuesday	72133
Atlantic	8/27/2014	2014	August	4	27	Wednesday	87911
Atlantic	8/28/2014	2014	August	4	28	Thursday	52779
Atlantic	8/29/2014	2014	August	5	29	Friday	87093
Atlantic	8/30/2014	2014	August	5	30	Saturday	21751
Atlantic	8/31/2014	2014	August	5	31	Sunday	59139
Atlantic	9/1/2014	2014	September	1	1	Monday	39057
Atlantic	9/2/2014	2014	September	1	2	Tuesday	52794
Atlantic	9/3/2014	2014	September	1	3	Wednesday	25365
Atlantic	9/4/2014	2014	September	1	4	Thursday	32600
Atlantic	9/5/2014	2014	September	1	5	Friday	29122
Atlantic	9/6/2014	2014	September	1	6	Saturday	84956
Atlantic	9/7/2014	2014	September	1	7	Sunday	87398
Atlantic	9/8/2014	2014	September	2	8	Monday	33821
Atlantic	9/9/2014	2014	September	2	9	Tuesday	30008
Atlantic	9/10/2014	2014	September	2	10	Wednesday	38733
Atlantic	9/11/2014	2014	September	2	11	Thursday	41919
Atlantic	9/12/2014	2014	September	2	12	Friday	24427
Atlantic	9/13/2014	2014	September	2	13	Saturday	46677
Atlantic	9/14/2014	2014	September	2	14	Sunday	87806
Atlantic	9/15/2014	2014	September	3	15	Monday	61688
Atlantic	9/16/2014	2014	September	3	16	Tuesday	16814
Atlantic	9/17/2014	2014	September	3	17	Wednesday	57601
Atlantic	9/18/2014	2014	September	3	18	Thursday	58290
Atlantic	9/19/2014	2014	September	3	19	Friday	67339
Atlantic	9/20/2014	2014	September	3	20	Saturday	62976
Atlantic	9/21/2014	2014	September	3	21	Sunday	64715
Atlantic	9/22/2014	2014	September	4	22	Monday	35120
Atlantic	9/23/2014	2014	September	4	23	Tuesday	56274
Atlantic	9/24/2014	2014	September	4	24	Wednesday	42201
Atlantic	9/25/2014	2014	September	4	25	Thursday	62242
Atlantic	9/26/2014	2014	September	4	26	Friday	69188
Atlantic	9/27/2014	2014	September	4	27	Saturday	46998
Atlantic	9/28/2014	2014	September	4	28	Sunday	63132
Atlantic	9/29/2014	2014	September	5	29	Monday	79854
Atlantic	9/30/2014	2014	September	5	30	Tuesday	78873
Atlantic	10/1/2014	2014	October	1	1	Wednesday	71752
Atlantic	10/2/2014	2014	October	1	2	Thursday	52267
Atlantic	10/3/2014	2014	October	1	3	Friday	76762
Atlantic	10/4/2014	2014	October	1	4	Saturday	34187
Atlantic	10/5/2014	2014	October	1	5	Sunday	58633
Atlantic	10/6/2014	2014	October	1	6	Monday	66902
Atlantic	10/7/2014	2014	October	1	7	Tuesday	76371
Atlantic	10/8/2014	2014	October	2	8	Wednesday	56734
Atlantic	10/9/2014	2014	October	2	9	Thursday	65902
Atlantic	10/10/2014	2014	October	2	10	Friday	29099
Atlantic	10/11/2014	2014	October	2	11	Saturday	65924
Atlantic	10/12/2014	2014	October	2	12	Sunday	45359
Atlantic	10/13/2014	2014	October	2	13	Monday	65989
Atlantic	10/14/2014	2014	October	2	14	Tuesday	14758
Atlantic	10/15/2014	2014	October	3	15	Wednesday	48703
Atlantic	10/16/2014	2014	October	3	16	Thursday	31541
Atlantic	10/17/2014	2014	October	3	17	Friday	24379
Atlantic	10/18/2014	2014	October	3	18	Saturday	53990
Atlantic	10/19/2014	2014	October	3	19	Sunday	47692
Atlantic	10/20/2014	2014	October	3	20	Monday	60057
Atlantic	10/21/2014	2014	October	3	21	Tuesday	25912
Atlantic	10/22/2014	2014	October	4	22	Wednesday	51280
Atlantic	10/23/2014	2014	October	4	23	Thursday	46179
Atlantic	10/24/2014	2014	October	4	24	Friday	47087
Atlantic	10/25/2014	2014	October	4	25	Saturday	51841
Atlantic	10/26/2014	2014	October	4	26	Sunday	36436
Atlantic	10/27/2014	2014	October	4	27	Monday	75352
Atlantic	10/28/2014	2014	October	4	28	Tuesday	41949
Atlantic	10/29/2014	2014	October	5	29	Wednesday	22094
Atlantic	10/30/2014	2014	October	5	30	Thursday	41855
Atlantic	10/31/2014	2014	October	5	31	Friday	31058
Atlantic	11/1/2014	2014	November	1	1	Saturday	66012
Atlantic	11/2/2014	2014	November	1	2	Sunday	79105
Atlantic	11/3/2014	2014	November	1	3	Monday	127977
Atlantic	11/4/2014	2014	November	1	4	Tuesday	131797
Atlantic	11/5/2014	2014	November	1	5	Wednesday	82554
Atlantic	11/6/2014	2014	November	1	6	Thursday	43417
Atlantic	11/7/2014	2014	November	1	7	Friday	152518
Atlantic	11/8/2014	2014	November	2	8	Saturday	83605
Atlantic	11/9/2014	2014	November	2	9	Sunday	50380
Atlantic	11/10/2014	2014	November	2	10	Monday	157725
Atlantic	11/11/2014	2014	November	2	11	Tuesday	54591
Atlantic	11/12/2014	2014	November	2	12	Wednesday	128285
Atlantic	11/13/2014	2014	November	2	13	Thursday	153633
Atlantic	11/14/2014	2014	November	2	14	Friday	86261
Atlantic	11/15/2014	2014	November	3	15	Saturday	137278
Atlantic	11/16/2014	2014	November	3	16	Sunday	140077
Atlantic	11/17/2014	2014	November	3	17	Monday	57791
Atlantic	11/18/2014	2014	November	3	18	Tuesday	149707
Atlantic	11/19/2014	2014	November	3	19	Wednesday	55055
Atlantic	11/20/2014	2014	November	3	20	Thursday	96173
Atlantic	11/21/2014	2014	November	3	21	Friday	75941
Atlantic	11/22/2014	2014	November	4	22	Saturday	73130
Atlantic	11/23/2014	2014	November	4	23	Sunday	129614
Atlantic	11/24/2014	2014	November	4	24	Monday	127113
Atlantic	11/25/2014	2014	November	4	25	Tuesday	79265
Atlantic	11/26/2014	2014	November	4	26	Wednesday	130110
Atlantic	11/27/2014	2014	November	4	27	Thursday	135318
Atlantic	11/28/2014	2014	November	4	28	Friday	98205
Atlantic	11/29/2014	2014	November	5	29	Saturday	127827
Atlantic	11/30/2014	2014	November	5	30	Sunday	77341
Atlantic	12/1/2014	2014	December	1	1	Monday	142935
Atlantic	12/2/2014	2014	December	1	2	Tuesday	122291
Atlantic	12/3/2014	2014	December	1	3	Wednesday	137926
Atlantic	12/4/2014	2014	December	1	4	Thursday	47052
Atlantic	12/5/2014	2014	December	1	5	Friday	55083
Atlantic	12/6/2014	2014	December	1	6	Saturday	143948
Atlantic	12/7/2014	2014	December	1	7	Sunday	63458
Atlantic	12/8/2014	2014	December	2	8	Monday	117467
Atlantic	12/9/2014	2014	December	2	9	Tuesday	157641
Atlantic	12/10/2014	2014	December	2	10	Wednesday	140883
Atlantic	12/11/2014	2014	December	2	11	Thursday	88603
Atlantic	12/12/2014	2014	December	2	12	Friday	127536
Atlantic	12/13/2014	2014	December	2	13	Saturday	49235
Atlantic	12/14/2014	2014	December	2	14	Sunday	153704
Atlantic	12/15/2014	2014	December	3	15	Monday	44981
Atlantic	12/16/2014	2014	December	3	16	Tuesday	155298
Atlantic	12/17/2014	2014	December	3	17	Wednesday	135156
Atlantic	12/18/2014	2014	December	3	18	Thursday	63196
Atlantic	12/19/2014	2014	December	3	19	Friday	69689
Atlantic	12/20/2014	2014	December	3	20	Saturday	155169
Atlantic	12/21/2014	2014	December	3	21	Sunday	87242
Atlantic	12/22/2014	2014	December	4	22	Monday	128079
Atlantic	12/23/2014	2014	December	4	23	Tuesday	152025
Atlantic	12/24/2014	2014	December	4	24	Wednesday	61356
Atlantic	12/25/2014	2014	December	4	25	Thursday	115796
Atlantic	12/26/2014	2014	December	4	26	Friday	146808
Atlantic	12/27/2014	2014	December	4	27	Saturday	55779
Atlantic	12/28/2014	2014	December	4	28	Sunday	78068
Atlantic	12/29/2014	2014	December	5	29	Monday	139439
Atlantic	12/30/2014	2014	December	5	30	Tuesday	44394
Atlantic	12/31/2014	2014	December	5	31	Wednesday	109516
Central	1/1/2014	2014	January	1	1	Wednesday	80631
Central	1/2/2014	2014	January	1	2	Thursday	75353
Central	1/3/2014	2014	January	1	3	Friday	52679
Central	1/4/2014	2014	January	1	4	Saturday	41396
Central	1/5/2014	2014	January	1	5	Sunday	60038
Central	1/6/2014	2014	January	1	6	Monday	120800
Central	1/7/2014	2014	January	1	7	Tuesday	136258
Central	1/8/2014	2014	January	2	8	Wednesday	64169
Central	1/9/2014	2014	January	2	9	Thursday	55230
Central	1/10/2014	2014	January	2	10	Friday	97146
Central	1/11/2014	2014	January	2	11	Saturday	98412
Central	1/12/2014	2014	January	2	12	Sunday	58329
Central	1/13/2014	2014	January	2	13	Monday	57920
Central	1/14/2014	2014	January	2	14	Tuesday	101425
Central	1/15/2014	2014	January	3	15	Wednesday	121030
Central	1/16/2014	2014	January	3	16	Thursday	85607
Central	1/17/2014	2014	January	3	17	Friday	149595
Central	1/18/2014	2014	January	3	18	Saturday	55779
Central	1/19/2014	2014	January	3	19	Sunday	60566
Central	1/20/2014	2014	January	3	20	Monday	117418
Central	1/21/2014	2014	January	3	21	Tuesday	73833
Central	1/22/2014	2014	January	4	22	Wednesday	98717
Central	1/23/2014	2014	January	4	23	Thursday	148822
Central	1/24/2014	2014	January	4	24	Friday	143971
Central	1/25/2014	2014	January	4	25	Saturday	103962
Central	1/26/2014	2014	January	4	26	Sunday	76469
Central	1/27/2014	2014	January	4	27	Monday	80284
Central	1/28/2014	2014	January	4	28	Tuesday	78212
Central	1/29/2014	2014	January	5	29	Wednesday	119930
Central	1/30/2014	2014	January	5	30	Thursday	89812
Central	1/31/2014	2014	January	5	31	Friday	159394
Central	2/1/2014	2014	February	1	1	Saturday	37067
Central	2/2/2014	2014	February	1	2	Sunday	50467
Central	2/3/2014	2014	February	1	3	Monday	87970
Central	2/4/2014	2014	February	1	4	Tuesday	24810
Central	2/5/2014	2014	February	1	5	Wednesday	62946
Central	2/6/2014	2014	February	1	6	Thursday	52542
Central	2/7/2014	2014	February	1	7	Friday	67088
Central	2/8/2014	2014	February	2	8	Saturday	46549
Central	2/9/2014	2014	February	2	9	Sunday	35460
Central	2/10/2014	2014	February	2	10	Monday	70617
Central	2/11/2014	2014	February	2	11	Tuesday	88765
Central	2/12/2014	2014	February	2	12	Wednesday	61244
Central	2/13/2014	2014	February	2	13	Thursday	25968
Central	2/14/2014	2014	February	2	14	Friday	65370
Central	2/15/2014	2014	February	3	15	Saturday	67296
Central	2/16/2014	2014	February	3	16	Sunday	37809
Central	2/17/2014	2014	February	3	17	Monday	80949
Central	2/18/2014	2014	February	3	18	Tuesday	63016
Central	2/19/2014	2014	February	3	19	Wednesday	23229
Central	2/20/2014	2014	February	3	20	Thursday	57704
Central	2/21/2014	2014	February	3	21	Friday	51877
Central	2/22/2014	2014	February	4	22	Saturday	63104
Central	2/23/2014	2014	February	4	23	Sunday	66675
Central	2/24/2014	2014	February	4	24	Monday	75756
Central	2/25/2014	2014	February	4	25	Tuesday	30916
Central	2/26/2014	2014	February	4	26	Wednesday	48683
Central	2/27/2014	2014	February	4	27	Thursday	43023
Central	2/28/2014	2014	February	4	28	Friday	37982
Central	3/1/2014	2014	March	1	1	Saturday	45896
Central	3/2/2014	2014	March	1	2	Sunday	48829
Central	3/3/2014	2014	March	1	3	Monday	88612
Central	3/4/2014	2014	March	1	4	Tuesday	38011
Central	3/5/2014	2014	March	1	5	Wednesday	51997
Central	3/6/2014	2014	March	1	6	Thursday	58138
Central	3/7/2014	2014	March	1	7	Friday	20589
Central	3/8/2014	2014	March	2	8	Saturday	71003
Central	3/9/2014	2014	March	2	9	Sunday	37476
Central	3/10/2014	2014	March	2	10	Monday	29553
Central	3/11/2014	2014	March	2	11	Tuesday	61253
Central	3/12/2014	2014	March	2	12	Wednesday	86682
Central	3/13/2014	2014	March	2	13	Thursday	26965
Central	3/14/2014	2014	March	2	14	Friday	45537
Central	3/15/2014	2014	March	3	15	Saturday	66556
Central	3/16/2014	2014	March	3	16	Sunday	87523
Central	3/17/2014	2014	March	3	17	Monday	33387
Central	3/18/2014	2014	March	3	18	Tuesday	20644
Central	3/19/2014	2014	March	3	19	Wednesday	50743
Central	3/20/2014	2014	March	3	20	Thursday	46826
Central	3/21/2014	2014	March	3	21	Friday	20611
Central	3/22/2014	2014	March	4	22	Saturday	72957
Central	3/23/2014	2014	March	4	23	Sunday	22081
Central	3/24/2014	2014	March	4	24	Monday	79115
Central	3/25/2014	2014	March	4	25	Tuesday	65013
Central	3/26/2014	2014	March	4	26	Wednesday	17618
Central	3/27/2014	2014	March	4	27	Thursday	72580
Central	3/28/2014	2014	March	4	28	Friday	65939
Central	3/29/2014	2014	March	5	29	Saturday	44661
Central	3/30/2014	2014	March	5	30	Sunday	31240
Central	3/31/2014	2014	March	5	31	Monday	65316
Central	4/1/2014	2014	April	1	1	Tuesday	70292
Central	4/2/2014	2014	April	1	2	Wednesday	45038
Central	4/3/2014	2014	April	1	3	Thursday	66379
Central	4/4/2014	2014	April	1	4	Friday	17490
Central	4/5/2014	2014	April	1	5	Saturday	86253
Central	4/6/2014	2014	April	1	6	Sunday	14015
Central	4/7/2014	2014	April	1	7	Monday	52562
Central	4/8/2014	2014	April	2	8	Tuesday	17995
Central	4/9/2014	2014	April	2	9	Wednesday	43856
Central	4/10/2014	2014	April	2	10	Thursday	34670
Central	4/11/2014	2014	April	2	11	Friday	26621
Central	4/12/2014	2014	April	2	12	Saturday	47128
Central	4/13/2014	2014	April	2	13	Sunday	83114
Central	4/14/2014	2014	April	2	14	Monday	63118
Central	4/15/2014	2014	April	3	15	Tuesday	14647
Central	4/16/2014	2014	April	3	16	Wednesday	88688
Central	4/17/2014	2014	April	3	17	Thursday	32135
Central	4/18/2014	2014	April	3	18	Friday	14103
Central	4/19/2014	2014	April	3	19	Saturday	23326
Central	4/20/2014	2014	April	3	20	Sunday	70670
